lat,lon
NaN,1
-5874158.867,-567.4245061
-5874180.921,-403.3732185
-5874289.316,-235.3143979
-5874372.616,-54.6151174
-5874448.913,128.7443146
-5874534.52,309.4705143
-5874586.885,501.7195765
-5874570.47,700.4425331
-5874536.304,897.4479441
-5874480.535,1088.63313
-5874374.984,1258.379883
-5874371.23,1440.06396
-5874438.026,1628.379377
-5874540.66,1793.749233
-5874680.549,1933.075985
-5874769.626,2112.057278
-5874909.959,2252.793562
-5875029.036,2412.618696
-5875139.195,2578.197473
-5875250.419,2740.589501
-5875366.235,2900.681181
-5875525.331,3006.687126
-5875663.476,2877.216175
-5875790.021,2723.420454
-5875928.989,2583.683763
-5876073.498,2448.79883
-5876248.454,2352.563631
-5876348.684,2448.210479
-5876288.91,2590.79344
-5876472.516,2621.990732
-5876667.44,2577.215027
-5876856.228,2511.615923
-5877039.753,2432.127006
-5877219.687,2345.359172
-5877394.996,2249.095543
-5877582.732,2181.358673
-5877762.67,2094.782266
-5877941.281,2004.801611
-5878131.391,1973.111833
-5878306.964,2068.820501
-5878438.269,2216.41107
-5878588.03,2347.865765
-5878650.842,2383.307015
-5878459.939,2432.574364
-5878297.369,2545.861823
-5878176.69,2704.450218
-5878021.668,2827.938896
-5877851.911,2933.067578
-5877672.902,3016.60251
-5877595.859,3200.33648
-5877518.992,3384.543024
-5877426.076,3560.20104
-5877373.191,3753.082259
-5877536.019,3761.844894
-5877677.383,3839.793474
-5877807.246,3735.369188
-5877910.048,3755.154574
-5878023.86,3611.010838
-5878171.736,3487.06473
-5878366.39,3458.379926
-5878514.441,3362.230264
-5878706.122,3309.089916
-5878870.558,3332.398958
-5878970.347,3167.700119
-5879094.508,3126.521892
-5879251.173,3004.003649
-5879211.913,3085.317522
-5879075.817,3231.723894
-5878925.769,3362.317335
-5878761.807,3475.323778
-5878606.162,3600.836391
-5878463.093,3739.66367
-5878310.969,3869.246848
-5878293.915,3961.946744
-5878450.895,4065.907377
-5878640.345,4119.035922
-5878768.372,4256.482964
-5878765.729,4454.173239
-5878815.487,4557.423142
-5878911.324,4386.030911
-5878979.581,4199.539235
-5879037.587,4021.960459
-5879213.061,3926.827739
-5879366.768,3798.878174
-5879507.51,3657.062372
-5879596.524,3480.797097
-5879721.365,3367.687151
-5879908.154,3308.034369
-5879975.174,3392.629743
-5879939.819,3589.433754
-5879909.806,3764.065284
-5880103.925,3716.946272
-5880285.008,3643.180275
-5880466.016,3564.062916
-5880640.276,3537.314953
-5880556.142,3682.834333
-5880403.903,3810.770043
-5880224.345,3811.910365
-5880088.226,3931.294292
-5880009.369,4109.52617
-5879878.223,4244.187186
-5879710.011,4287.57034
-5879647.372,4462.101359
-5879478.918,4556.326966
-5879281.461,4557.046572
-5879133.743,4648.844334
-5878939.665,4673.029171
-5879041.598,4784.890777
-5878949.695,4940.728606
-5879106.886,5031.946067
-5879300.689,5063.73012
-5879499.043,5086.792529
-5879692.554,5121.825676
-5879836.232,5236.384535
-5879942.792,5289.857399
-5880128.911,5217.563104
-5880286.776,5096.939966
-5880451.233,4983.707349
-5880631.212,4899.732818
-5880780.586,4766.777719
-5880928.123,4631.813236
-5881081.769,4503.818889
-5881030.129,4678.68176
-5880951.6,4862.618444
-5880879.264,5048.941372
-5880860.069,5246.035006
-5880860.413,5445.747732
-5880829.978,5643.371037
-5880820.322,5843.137822
-5880822.415,6042.256911
-5880787.172,6205.743937
-5880660.281,6358.565377
-5880624.07,6550.036301
-5880573.174,6740.093687
-5880539.314,6932.294325
-5880567.13,7121.336544
-5880611.354,7282.144856
-5880652.742,7442.239155
