-1.7855e+06,1.6072e+05
-1.4278e+06,1.6072e+05
-1.3776e+06,21122
-1.2773e+06,16760
-1.081e+06,58202
-7.0362e+05,-1.5119e+05
-8.454e+05,-4.4128e+05
-1.0264e+06,-6.5722e+05
-1.3471e+06,-9.7349e+05
-1.475e+06,-9.7343e+05
-1.4817e+06,-9.7202e+05
-1.4896e+06,-9.7382e+05
-1.4969e+06,-9.7088e+05
-1.5025e+06,-9.6353e+05
-1.5071e+06,-9.5552e+05
-1.5094e+06,-9.4657e+05
-1.5117e+06,-9.3749e+05
-1.5146e+06,-9.2878e+05
-1.5178e+06,-9.2082e+05
-1.522e+06,-9.1341e+05
-1.5267e+06,-9.0604e+05
-1.5285e+06,-8.9794e+05
-1.5281e+06,-8.8918e+05
-1.5319e+06,-8.8167e+05
-1.5391e+06,-8.7579e+05
-1.5457e+06,-8.6932e+05
-1.5485e+06,-8.6144e+05
-1.5455e+06,-8.5413e+05
-1.5407e+06,-8.4724e+05
-1.5392e+06,-8.3864e+05
-1.5405e+06,-8.2928e+05
-1.5426e+06,-8.1999e+05
-1.5451e+06,-8.1111e+05
-1.5478e+06,-8.0309e+05
-1.5522e+06,-7.9707e+05
-1.5599e+06,-7.9352e+05
-1.5688e+06,-7.8996e+05
-1.5769e+06,-7.8577e+05
-1.5797e+06,-7.7971e+05
-1.5755e+06,-7.7251e+05
-1.5708e+06,-7.6442e+05
-1.5689e+06,-7.5552e+05
-1.5704e+06,-7.4659e+05
-1.5745e+06,-7.3976e+05
-1.5824e+06,-7.3694e+05
-1.591e+06,-7.3568e+05
-1.5985e+06,-7.3201e+05
-1.6051e+06,-7.2648e+05
-1.6073e+06,-7.197e+05
-1.6032e+06,-7.1247e+05
-1.5993e+06,-7.0505e+05
-1.5973e+06,-6.9722e+05
-1.5926e+06,-6.9063e+05
-1.5901e+06,-6.8396e+05
-1.5908e+06,-6.7577e+05
-1.5924e+06,-6.6701e+05
-1.5943e+06,-6.581e+05
-1.5969e+06,-6.4941e+05
-1.6013e+06,-6.4248e+05
-1.6068e+06,-6.3645e+05
-1.6091e+06,-6.2831e+05
-1.6076e+06,-6.1973e+05
-1.6071e+06,-6.125e+05
-1.6101e+06,-6.0602e+05
-1.6091e+06,-5.9867e+05
-1.6031e+06,-5.9175e+05
-1.5955e+06,-5.8611e+05
-1.5873e+06,-5.8186e+05
-1.5798e+06,-5.7801e+05
-1.5743e+06,-5.7263e+05
-1.5696e+06,-5.6505e+05
-1.565e+06,-5.5736e+05
-1.5585e+06,-5.5348e+05
-1.5512e+06,-5.5092e+05
-1.5462e+06,-5.4415e+05
-1.5414e+06,-5.3725e+05
-1.5371e+06,-5.3538e+05
-1.5334e+06,-5.386e+05
-1.529e+06,-5.3577e+05
-1.5266e+06,-5.2717e+05
-1.5266e+06,-5.1833e+05
-1.5284e+06,-5.0996e+05
-1.5318e+06,-5.0273e+05
-1.5365e+06,-4.9884e+05
-1.5407e+06,-4.9834e+05
-1.5457e+06,-4.9833e+05
-1.548e+06,-5.0304e+05
-1.5489e+06,-5.0791e+05
-1.5528e+06,-5.0559e+05
-1.559e+06,-5.0203e+05
-1.5658e+06,-4.9881e+05
-1.5715e+06,-4.926e+05
-1.5768e+06,-4.857e+05
-1.584e+06,-4.8158e+05
-1.592e+06,-4.7847e+05
