 SSTREAM(uvh/supg) 	 time=        1.60000 	 dt=0.2 	 r=1.6648e-20 	 #it= 5 	 CPUsec=1.63111 
 SSTREAM(uvh/supg) 	 time=        1.60000 	 dt=0.2 	 r=1.6648e-20 	 #it= 5 	 CPUsec=1.59155 
 SSTREAM(uvh/supg) 	 time=        1.80000 	 dt=0.2 	 r=1.1789e-17 	 #it= 5 	 CPUsec=1.15703 
 SSTREAM(uvh/supg) 	 time=        1.80000 	 dt=0.2 	 r=5.3691e-19 	 #it= 5 	 CPUsec=1.16642 
 SSTREAM(uvh/supg) 	 time=        1.80000 	 dt=0.2 	 r=5.35903e-19 	 #it= 5 	 CPUsec=1.17433 
 SSTREAM(uvh/supg) 	 time=        1.80000 	 dt=0.2 	 r=5.35902e-19 	 #it= 5 	 CPUsec=1.19873 
 SSTREAM(uvh/supg) 	 time=        1.80000 	 dt=0.2 	 r=5.35902e-19 	 #it= 5 	 CPUsec=1.15151 
 SSTREAM(uvh/supg) 	 time=        1.80000 	 dt=0.2 	 r=5.35902e-19 	 #it= 5 	 CPUsec=1.23105 
 SSTREAM(uvh/supg) 	 time=        1.80000 	 dt=0.2 	 r=5.35902e-19 	 #it= 5 	 CPUsec=1.16113 
 SSTREAM(uvh/supg) 	 time=        1.80000 	 dt=0.2 	 r=5.35902e-19 	 #it= 5 	 CPUsec=1.18501 
 SSTREAM(uvh/supg) 	 time=        2.00000 	 dt=0.2 	 r=5.10276e-19 	 #it= 6 	 CPUsec=1.53893 
 SSTREAM(uvh/supg) 	 time=        2.00000 	 dt=0.2 	 r=6.09874e-19 	 #it= 6 	 CPUsec=1.61452 
 SSTREAM(uvh/supg) 	 time=        2.00000 	 dt=0.2 	 r=6.09873e-19 	 #it= 6 	 CPUsec=1.51931 
 SSTREAM(uvh/supg) 	 time=        2.00000 	 dt=0.2 	 r=6.09873e-19 	 #it= 6 	 CPUsec=1.57951 
 SSTREAM(uvh/supg) 	 time=        2.20000 	 dt=0.2 	 r=2.32335e-18 	 #it= 5 	 CPUsec=1.30206 
 SSTREAM(uvh/supg) 	 time=        2.20000 	 dt=0.2 	 r=1.49631e-17 	 #it= 5 	 CPUsec=1.26029 
 SSTREAM(uvh/supg) 	 time=        2.40000 	 dt=0.2 	 r=8.77395e-19 	 #it= 8 	 CPUsec=2.55248 
 SSTREAM(uvh/supg) 	 time=        2.40000 	 dt=0.2 	 r=1.17017e-17 	 #it= 7 	 CPUsec=2.55203 
 SSTREAM(uvh/supg) 	 time=        2.60000 	 dt=0.2 	 r=1.81237e-18 	 #it= 7 	 CPUsec=1.70047 
 SSTREAM(uvh/supg) 	 time=        2.60000 	 dt=0.2 	 r=3.10616e-16 	 #it= 5 	 CPUsec=1.39385 
 SSTREAM(uvh/supg) 	 time=        2.80000 	 dt=0.2 	 r=2.9592e-20 	 #it= 6 	 CPUsec=1.8251 
 SSTREAM(uvh/supg) 	 time=        2.80000 	 dt=0.2 	 r=6.00649e-20 	 #it= 7 	 CPUsec=1.9596 
 SSTREAM(uvh/supg) 	 time=        2.80000 	 dt=0.2 	 r=6.00648e-20 	 #it= 7 	 CPUsec=2.36527 
 SSTREAM(uvh/supg) 	 time=        3.00000 	 dt=0.2 	 r=4.27763e-18 	 #it= 7 	 CPUsec=2.71712 
 SSTREAM(uvh/supg) 	 time=        3.00000 	 dt=0.2 	 r=1.76168e-19 	 #it= 7 	 CPUsec=3.17126 
 SSTREAM(uvh/supg) 	 time=        3.20000 	 dt=0.2 	 r=4.35702e-16 	 #it= 6 	 CPUsec=3.81976 
 SSTREAM(uvh/supg) 	 time=        3.40000 	 dt=0.2 	 r=2.57991e-16 	 #it= 7 	 CPUsec=2.68363 
 SSTREAM(uvh/supg) 	 time=        3.40000 	 dt=0.2 	 r=1.55955e-18 	 #it= 6 	 CPUsec=2.43991 
 SSTREAM(uvh/supg) 	 time=        3.40000 	 dt=0.2 	 r=1.55797e-18 	 #it= 6 	 CPUsec=2.16234 
 SSTREAM(uvh/supg) 	 time=        3.60000 	 dt=0.2 	 r=1.04085e-17 	 #it= 6 	 CPUsec=2.1712 
 SSTREAM(uvh/supg) 	 time=        3.60000 	 dt=0.2 	 r=8.38835e-17 	 #it= 6 	 CPUsec=1.65841 
 SSTREAM(uvh/supg) 	 time=        3.80000 	 dt=0.2 	 r=3.05246e-21 	 #it= 6 	 CPUsec=1.76395 
 SSTREAM(uvh/supg) 	 time=        3.80000 	 dt=0.2 	 r=4.096e-16 	 #it= 5 	 CPUsec=1.35006 
 SSTREAM(uvh/supg) 	 time=        4.00000 	 dt=0.2 	 r=5.23719e-16 	 #it= 4 	 CPUsec=0.889836 
 SSTREAM(uvh/supg) 	 time=        4.20000 	 dt=0.2 	 r=1.73133e-16 	 #it= 4 	 CPUsec=0.794307 
 SSTREAM(uvh/supg) 	 time=        4.20000 	 dt=0.2 	 r=1.74818e-16 	 #it= 4 	 CPUsec=1.0078 
 SSTREAM(uvh/supg) 	 time=        4.20000 	 dt=0.2 	 r=1.74819e-16 	 #it= 4 	 CPUsec=0.965515 
 SSTREAM(uvh/supg) 	 time=        4.20000 	 dt=0.2 	 r=1.74819e-16 	 #it= 4 	 CPUsec=0.793579 
 SSTREAM(uvh/supg) 	 time=        4.20000 	 dt=0.2 	 r=1.74819e-16 	 #it= 4 	 CPUsec=0.814186 
 SSTREAM(uvh/supg) 	 time=        4.20000 	 dt=0.2 	 r=1.74819e-16 	 #it= 4 	 CPUsec=0.840799 
 SSTREAM(uvh/supg) 	 time=        4.40000 	 dt=0.2 	 r=1.16735e-16 	 #it= 4 	 CPUsec=1.11 
 SSTREAM(uvh/supg) 	 time=        4.40000 	 dt=0.2 	 r=1.15623e-16 	 #it= 4 	 CPUsec=1.10749 
