 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=8.20373e-33 	 #it= 1 	 CPUsec=0.0573738 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=5.90743e-33 	 #it= 1 	 CPUsec=0.0632362 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.46171e-33 	 #it= 1 	 CPUsec=0.0551805 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.23571e-33 	 #it= 1 	 CPUsec=0.059058 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.91814e-33 	 #it= 1 	 CPUsec=0.0614583 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=2.87596e-33 	 #it= 1 	 CPUsec=0.0898177 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=4.64563e-33 	 #it= 1 	 CPUsec=0.056609 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=9.43905e-33 	 #it= 1 	 CPUsec=0.0736716 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=1.29808e-32 	 #it= 1 	 CPUsec=0.0684916 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=7.75648e-33 	 #it= 1 	 CPUsec=0.0583953 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.2481e-33 	 #it= 1 	 CPUsec=0.0573065 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=8.20373e-33 	 #it= 1 	 CPUsec=0.0597559 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=5.90743e-33 	 #it= 1 	 CPUsec=0.0587545 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.46171e-33 	 #it= 1 	 CPUsec=0.0550315 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.23571e-33 	 #it= 1 	 CPUsec=0.0577982 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.91814e-33 	 #it= 1 	 CPUsec=0.0643299 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=2.87596e-33 	 #it= 1 	 CPUsec=0.0863392 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=4.64563e-33 	 #it= 1 	 CPUsec=0.0521349 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=3.58523e-33 	 #it= 1 	 CPUsec=0.0558088 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=3.34624e-33 	 #it= 1 	 CPUsec=0.0549757 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=3.74961e-33 	 #it= 1 	 CPUsec=0.059987 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=2.02567e-33 	 #it= 1 	 CPUsec=0.0855038 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=1.6167e-33 	 #it= 1 	 CPUsec=0.0823725 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=2.97018e-33 	 #it= 1 	 CPUsec=0.0654161 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=2.71593e-33 	 #it= 1 	 CPUsec=0.0573337 
