 SSTREAM(uvh/supg) 	 time=       45.00000 	 dt=1 	 r=1.90973e-16 	 #it= 6 	 CPUsec=4.65358 
 SSTREAM(uvh/supg) 	 time=       46.00000 	 dt=1 	 r=4.14465e-18 	 #it= 7 	 CPUsec=5.39724 
 SSTREAM(uvh/supg) 	 time=       47.00000 	 dt=1 	 r=6.85299e-19 	 #it= 10 	 CPUsec=7.47509 
 SSTREAM(uvh/supg) 	 time=       48.00000 	 dt=1 	 r=6.95637e-16 	 #it= 6 	 CPUsec=4.58568 
 SSTREAM(uvh/supg) 	 time=       49.00000 	 dt=1 	 r=7.37544e-18 	 #it= 7 	 CPUsec=5.36588 
 SSTREAM(uvh/supg) 	 time=       50.00000 	 dt=1 	 r=3.62598e-16 	 #it= 7 	 CPUsec=5.13291 
 SSTREAM(uvh/supg) 	 time=       51.00000 	 dt=1 	 r=8.73174e-17 	 #it= 9 	 CPUsec=7.36692 
 SSTREAM(uvh/supg) 	 time=       52.00000 	 dt=1 	 r=1.26309e-18 	 #it= 7 	 CPUsec=5.40963 
 SSTREAM(uvh/supg) 	 time=       53.00000 	 dt=1 	 r=8.52398e-16 	 #it= 6 	 CPUsec=4.64434 
 SSTREAM(uvh/supg) 	 time=       54.00000 	 dt=1 	 r=2.14597e-18 	 #it= 7 	 CPUsec=5.39164 
 SSTREAM(uvh/supg) 	 time=       55.00000 	 dt=1 	 r=3.44001e-17 	 #it= 8 	 CPUsec=6.13533 
 SSTREAM(uvh/supg) 	 time=       56.00000 	 dt=1 	 r=1.36733e-16 	 #it= 9 	 CPUsec=7.04042 
 SSTREAM(uvh/supg) 	 time=       57.00000 	 dt=1 	 r=1.38755e-18 	 #it= 7 	 CPUsec=5.43607 
 SSTREAM(uvh/supg) 	 time=        2.00000 	 dt=1 	 r=7.15599e-18 	 #it= 8 	 CPUsec=7.43904 
 SSTREAM(uvh/supg) 	 time=        3.00000 	 dt=1 	 r=3.11989e-18 	 #it= 8 	 CPUsec=6.45068 
 SSTREAM(uvh/supg) 	 time=        4.00000 	 dt=1 	 r=7.92628e-18 	 #it= 8 	 CPUsec=6.54276 
 SSTREAM(uvh/supg) 	 time=        5.00000 	 dt=1 	 r=8.83496e-18 	 #it= 8 	 CPUsec=6.63244 
 SSTREAM(uvh/supg) 	 time=        6.00000 	 dt=1 	 r=8.4382e-16 	 #it= 8 	 CPUsec=6.43755 
 SSTREAM(uvh/supg) 	 time=        7.00000 	 dt=1 	 r=7.14064e-17 	 #it= 8 	 CPUsec=6.5646 
 SSTREAM(uvh/supg) 	 time=        8.00000 	 dt=1 	 r=2.00191e-16 	 #it= 6 	 CPUsec=4.96985 
 SSTREAM(uvh/supg) 	 time=        9.00000 	 dt=1 	 r=7.56236e-17 	 #it= 8 	 CPUsec=6.64897 
 SSTREAM(uvh/supg) 	 time=       10.00000 	 dt=1 	 r=4.40865e-17 	 #it= 8 	 CPUsec=6.26205 
 SSTREAM(uvh/supg) 	 time=       11.00000 	 dt=1 	 r=8.97296e-16 	 #it= 9 	 CPUsec=7.04569 
 SSTREAM(uvh/supg) 	 time=        2.00000 	 dt=1 	 r=4.68199e-18 	 #it= 8 	 CPUsec=7.84945 
 SSTREAM(uvh/supg) 	 time=        3.00000 	 dt=1 	 r=2.03641e-18 	 #it= 8 	 CPUsec=6.78359 
 SSTREAM(uvh/supg) 	 time=        4.00000 	 dt=1 	 r=5.16443e-18 	 #it= 8 	 CPUsec=6.82667 
 SSTREAM(uvh/supg) 	 time=        5.00000 	 dt=1 	 r=5.76335e-18 	 #it= 8 	 CPUsec=6.6429 
 SSTREAM(uvh/supg) 	 time=        6.00000 	 dt=1 	 r=5.51455e-16 	 #it= 8 	 CPUsec=6.71929 
