
                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016b (9.1.0.441655) 64-bit (glnxa64)
                             September 7, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Non-Degree Granting Education License -- for use at non-degree granting, nonprofit,
	educational organizations only.  Not for government, commercial, or other organizational use.

>> >> >> >> >> >> >> >> >>  On input UserVar=10.000000 

 
 **************************     Úa version: 13 Jan 2017  ********************** 
    Run starts at 21-Feb-2017 18:37:10  
    Experiment: UaOpt-ConjGrad  
    Inverse-modelling restart run.  
 	CtrlVar.Inverse.InvertFor='logAGlenlogC'
	CtrlVar.Inverse.Regularize.Field='logAGlenlogC'
	CtrlVar.Inverse.DataMisfit.GradientCalculation='Adjoint'
   Running on: bslicea.nerc-bas.ac.uk
 ***************************************************************************** 
 
 Inverse run: loading restart file: IR-UaOpt-ConjGrad-UaOptimization-Nod3-I-Adjoint-Cga1k000000-Cgs10k000000-Aga1k000000-Ags10k000000-0-0-logAGlenlogC 	  done 
  Setting h(h<50)=50 
  Calling UaOutputs. UaOutputsInfostring=Start of Inverse Run , UaOutputsCounter=1 
 
 ===========   Inverting for model parameters. ================  

 +++++++++++ At start of inversion:  	 J=28.51 	 I=27.8252 	 R=0.684863  |grad|=0.300008 	 	 gamma=0.00957053 
 

   It         J           I          R         |grad|      gamma   #ccUpdate
11000       28.51     27.8252    0.684863    0.300008  0.00957053      0
11001     28.5092     27.8243    0.684881    0.522771    0.142699      0
11002     28.5085     27.8237     0.68488    0.302632  0.00891869      1
11003     28.5084     27.8235    0.684883    0.336828    0.020003      2
11004     28.5082     27.8233    0.684884    0.301629  0.00989786      3
11005      28.508     27.8231    0.684888    0.353166   0.0358797      4
11006     28.5078     27.8229    0.684889    0.300913   0.0071275      5
11007     28.5056     27.8207    0.684938    0.737562     0.37131      0
11008      28.504     27.8191    0.684934      0.3472  0.00580172      1
11009     28.5037     27.8188    0.684936    0.308695   0.0120826      0
11010     28.5036     27.8187    0.684937     0.31456   0.0167178      1
11011     28.5035     27.8185    0.684939    0.313233   0.0138006      2
11012     28.5033     27.8184    0.684941    0.311811   0.0158202      3
11013     28.5032     27.8182    0.684942    0.316339   0.0149983      4
11014      28.503     27.8181    0.684944    0.308697    0.014093      5
11015     28.5029     27.8179    0.684946    0.321664   0.0173119      6
11016     28.5027     27.8178    0.684947    0.300155  0.00932966      7
11017      28.502     27.8171    0.684962    0.492486    0.121394      8
11018     28.5015     27.8165    0.684962    0.300912  0.00758711      9
11019      28.499      27.814    0.685016    0.766521    0.414179      0
11020     28.4972     27.8122    0.685012    0.324947  0.00647155      1
11021      28.497      27.812    0.685014    0.314926   0.0146954      0
11022     28.4969     27.8119    0.685015    0.307604   0.0131989      1
