
                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016b (9.1.0.441655) 64-bit (glnxa64)
                             September 7, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Non-Degree Granting Education License -- for use at non-degree granting, nonprofit,
	educational organizations only.  Not for government, commercial, or other organizational use.

>> >> >> >> >> >> >> >> >>  On input UserVar=1000.000000 

 
 **************************     Úa version: 13 Jan 2017  ********************** 
    Run starts at 21-Feb-2017 18:36:13  
    Experiment: UaOpt-ConjGrad  
    Inverse-modelling restart run.  
 	CtrlVar.Inverse.InvertFor='logAGlenlogC'
	CtrlVar.Inverse.Regularize.Field='logAGlenlogC'
	CtrlVar.Inverse.DataMisfit.GradientCalculation='Adjoint'
   Running on: bslicea.nerc-bas.ac.uk
 ***************************************************************************** 
 
 Inverse run: loading restart file: IR-UaOpt-ConjGrad-UaOptimization-Nod3-I-Adjoint-Cga1k000000-Cgs1000k000000-Aga1k000000-Ags1000k000000-0-0-logAGlenlogC 	  done 
  Setting h(h<50)=50 
  Calling UaOutputs. UaOutputsInfostring=Start of Inverse Run , UaOutputsCounter=1 
 
 ===========   Inverting for model parameters. ================  

 +++++++++++ At start of inversion:  	 J=32.9477 	 I=32.2746 	 R=0.673186  |grad|=0.510561 	 	 gamma=0.364433 
 

   It         J           I          R         |grad|      gamma   #ccUpdate
11082     32.5454      31.869    0.676394    0.338865   0.0110841      2
11083     32.5452     31.8688    0.676396    0.361683   0.0168319      3
11084     32.5449     31.8685    0.676397    0.327231  0.00871334      4
11085     32.5438     31.8674    0.676411    0.582396    0.100695      5
11086      32.543     31.8666     0.67641     0.32909  0.00687544      6
11087     32.5408     31.8643    0.676442    0.746677     0.20163      0
11088     32.5392     31.8628    0.676438    0.328221  0.00689163      1
11089     32.5382     31.8618    0.676451    0.550287   0.0850707      0
11090     32.5376     31.8611     0.67645    0.327065  0.00707399      1
11091     32.5256      31.849    0.676606     1.48859     1.00169      0
11092     32.5197     31.8431    0.676593    0.704344  0.00428889      1
11093     32.5177     31.8411    0.676594    0.329304  0.00951752      0
11094     32.5174     31.8408      0.6766    0.406976   0.0329233      1
11095      32.517     31.8404      0.6766    0.326989  0.00636921      2
11096     32.5153     31.8387    0.676623    0.659157    0.144302      0
11097     32.5144     31.8378     0.67662    0.343752  0.00901891      1
11098     32.5141     31.8375    0.676622     0.35582   0.0095854      2
11099      32.514     31.8374    0.676623    0.330466  0.00874841      3
11100     32.5135     31.8369    0.676627    0.398507    0.031713      4
11101     32.5133     31.8366    0.676628     0.32889  0.00640493      5
11102     32.5106     31.8339    0.676665    0.806983    0.239266      0
11103     32.5088     31.8321    0.676661    0.351921  0.00600996      1
11104     32.5084     31.8317    0.676664    0.366097   0.0185844      0
11105     32.5082     31.8315    0.676665    0.330311  0.00926784      1
11106     32.5077     31.8311    0.676669    0.412658   0.0335959      2
11107     32.5074     31.8308     0.67667    0.329405   0.0062852      3
11108     32.5052     31.8285    0.676701    0.739551    0.195508      0
11109     32.5037      31.827    0.676697    0.327557  0.00699226      1
11110     32.5022     31.8255    0.676716    0.631383     0.12665      0
11111     32.5013     31.8246    0.676714    0.327353  0.00791561      1
11112     32.5005     31.8238    0.676724    0.517673   0.0637948      2
11113        32.5     31.8232    0.676724    0.328092  0.00683742      3
11114     32.4948      31.818    0.676797     1.10201    0.469646      0
11115     32.4914     31.8146    0.676786    0.326434  0.00733821      1
11116     32.4816     31.8047    0.676925     1.52595     0.89655      0
11117     32.4751     31.7981    0.676909    0.531945    0.005407      1
11118     32.4741     31.7972     0.67691    0.330501   0.0102083      0
11119     32.4737     31.7968    0.676915    0.423118   0.0345659      1
11120     32.4734     31.7965    0.676915    0.330382  0.00623517      2
11121     32.4716     31.7946    0.676937    0.615943    0.141266      0
11122     32.4707     31.7938    0.676934    0.341427   0.0088291      1
11123     32.4704     31.7935    0.676937     0.35334   0.0110401      2
11124     32.4702     31.7933    0.676938    0.337448  0.00992562      3
11125     32.4699      31.793    0.676941    0.373662   0.0233604      4
11126     32.4696     31.7927    0.676942    0.345423   0.0111368      5
11127     32.4694     31.7925    0.676944    0.343934   0.0126822      6
11128     32.4692     31.7922    0.676945    0.353578   0.0144804      7
11129     32.4689      31.792    0.676947     0.33879   0.0122918      8
11130     32.4687     31.7917    0.676949    0.365987   0.0178014      9
11131     32.4684     31.7915     0.67695    0.328744   0.0090987     10
11132     32.4677     31.7908    0.676959    0.487747   0.0595199     11
11133     32.4672     31.7903    0.676959    0.328057  0.00695182     12
11134     32.4601      31.783    0.677061     1.29219    0.652893      0
11135     32.4571     31.7801    0.677038    0.580437   0.0102014      1
11136     32.4555     31.7785    0.677043    0.327336  0.00367759      2
11137     32.4552     31.7781    0.677047    0.402839   0.0333282      3
11138     32.4549     31.7778    0.677047    0.328867  0.00681658      4
11139     32.4512     31.7741    0.677099    0.939552     0.33135      0
11140     32.4487     31.7717    0.677094    0.416807  0.00517735      1
11141     32.4482     31.7711    0.677095    0.340201   0.0117309      0
11142      32.448     31.7709    0.677097    0.348138   0.0143815      1
11143     32.4477     31.7706    0.677099    0.349796   0.0135768      2
11144     32.4475     31.7704      0.6771    0.342168   0.0132857      3
11145     32.4472     31.7701    0.677102     0.35802   0.0156409      4
11146      32.447     31.7699    0.677103    0.327161  0.00820234      5
11147     32.4448     31.7676    0.677131    0.718514    0.185834      6
11148     32.4443     31.7672    0.677127    0.464283   0.0116146      7
11149     32.4435     31.7664    0.677128    0.334209  0.00445236      8
11150     32.4434     31.7663    0.677129    0.335035  0.00796754      9
11151     32.4431     31.7659    0.677133    0.393453   0.0259352     10
11152     32.4428     31.7657    0.677133    0.331064  0.00564823     11
11153     32.4413     31.7641    0.677154     0.61839    0.127968      0
11154     32.4403     31.7632    0.677151    0.331039  0.00799798      1
11155     32.4399     31.7628    0.677156     0.40813   0.0289927      2
11156     32.4396     31.7624    0.677156     0.32903   0.0058344      3
11157     32.4385     31.7614     0.67717    0.559812   0.0876889      0
11158     32.4378     31.7607    0.677169    0.328315  0.00697194      1
11159     32.4317     31.7544    0.677256     1.20137    0.559034      0
11160     32.4281     31.7509     0.67724    0.391707   0.0087349      1
11161     32.4276     31.7503    0.677243    0.338734  0.00556877      2
11162     32.4275     31.7502    0.677243    0.332436  0.00715064      3
11163     32.4268     31.7496    0.677251    0.462105   0.0549516      4
11164     32.4263     31.7491    0.677251    0.327037  0.00687582      5
11165     32.4224     31.7451    0.677305    0.985554     0.34807      0
11166     32.4199     31.7426    0.677299    0.415498   0.0054386      1
11167     32.4194     31.7421    0.677301    0.335887   0.0123249      0
11168     32.4191     31.7418    0.677303     0.36561   0.0171797      1
11169     32.4189     31.7416    0.677304      0.3281  0.00886968      2
11170     32.4179     31.7406    0.677316    0.527006   0.0803815      3
11171     32.4173       31.74    0.677315    0.327026  0.00745786      4
11172     31.4468     30.7578    0.689021        4.62      71.798      0
11173     31.3666     30.6778    0.688813     1.63079  0.00610178      1
11174     31.3533     30.6644    0.688809    0.758399   0.0109547      0
11175       31.35     30.6612    0.688805    0.871066   0.0139827      1
11176     31.3481     30.6593    0.688805    0.664222  0.00504161      2
11177     31.3031     30.6144    0.688716     1.32539    0.270977      0
11178     31.2926     30.6039     0.68874    0.534553    0.016936      1
11179     31.2832     30.5945    0.688725     1.17604   0.0932621      0
11180     31.2808      30.592    0.688728    0.517226  0.00582888      1
11181     31.2631     30.5744    0.688677     1.31768    0.214919      0
11182     31.2578     30.5691    0.688689    0.593805   0.0074456      1
11183     31.2513     30.5626     0.68869    0.598934   0.0488444      0
11184     31.2497      30.561    0.688686    0.482334   0.0122111      1
11185     31.2472     30.5585    0.688683    0.756552   0.0374607      2
11186      31.246     30.5573    0.688683    0.461529   0.0050439      3
11187     31.2354     30.5467    0.688656     1.38988    0.174441      0
11188     31.2319     30.5432     0.68866    0.820052  0.00303474      1
11189     31.2286     30.5399     0.68866    0.473065   0.0110009      0
11190     31.2271     30.5385    0.688659     0.60943   0.0223894      1
11191     31.2264     30.5377    0.688659    0.435763  0.00575833      2
11192      31.199     30.5104    0.688615     1.32362    0.542892      0
11193     31.1902     30.5016    0.688617    0.781819  0.00848269      1
11194     31.1828     30.4942    0.688609    0.406544   0.0303446      0
11195     31.1807     30.4921     0.68861     0.49958   0.0576561      1
11196     31.1791     30.4905    0.688607    0.399013   0.0230373      2
11197     31.1764     30.4878    0.688607    0.541072   0.0749865      3
11198     31.1748     30.4862    0.688605    0.390741   0.0143858      4
11199      31.168     30.4794    0.688596    0.996318    0.207552      0
11200     31.1653     30.4767    0.688599    0.445025  0.00690409      1
11201     31.1625     30.4739      0.6886    0.449255   0.0511894      0
11202     31.1616      30.473    0.688599    0.425519   0.0212683      1
11203     31.1609     30.4723    0.688599     0.38701   0.0116663      2
11204     31.1602     30.4716    0.688598    0.485669   0.0246812      3
11205     31.1597     30.4711    0.688599    0.376966  0.00538914      4
11206     31.1532     30.4646    0.688597     1.16839     0.24113      0
11207     31.1502     30.4616    0.688597    0.601936  0.00376765      1
11208     31.1487     30.4601    0.688597    0.389319   0.0110675      0
11209     31.1483     30.4597    0.688597    0.407819   0.0132079      1
11210     31.1478     30.4592    0.688597    0.391651   0.0109022      2
11211     31.1473     30.4587    0.688597    0.406703   0.0145196      3
11212     31.1469     30.4583    0.688597    0.369158  0.00807939      4
11213      31.145     30.4564    0.688597    0.630177   0.0732195      5
11214     31.1441     30.4555    0.688597    0.370236  0.00579108      6
11215     31.1425     30.4539    0.688598     0.56934   0.0524817      0
11216     31.1419     30.4533    0.688598    0.366606  0.00589675      1
11217     31.1384     30.4498      0.6886    0.788609    0.133598      0
11218     31.1373     30.4487    0.688599     0.38978  0.00834988      1
11219     31.1368     30.4482    0.688599     0.40909  0.00940778      2
11220     31.1365     30.4479    0.688599    0.357892  0.00504448      3
