
                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016b (9.1.0.441655) 64-bit (glnxa64)
                             September 7, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Non-Degree Granting Education License -- for use at non-degree granting, nonprofit,
	educational organizations only.  Not for government, commercial, or other organizational use.

>> >> >> >> >> >> >> >> >>  On input UserVar=100.000000 

 
 **************************     Úa version: 13 Jan 2017  ********************** 
    Run starts at 21-Feb-2017 18:36:48  
    Experiment: UaOpt-ConjGrad  
    Inverse-modelling restart run.  
 	CtrlVar.Inverse.InvertFor='logAGlenlogC'
	CtrlVar.Inverse.Regularize.Field='logAGlenlogC'
	CtrlVar.Inverse.DataMisfit.GradientCalculation='Adjoint'
   Running on: bslicea.nerc-bas.ac.uk
 ***************************************************************************** 
 
 Inverse run: loading restart file: IR-UaOpt-ConjGrad-UaOptimization-Nod3-I-Adjoint-Cga1k000000-Cgs100k000000-Aga1k000000-Ags100k000000-0-0-logAGlenlogC 	  done 
  Setting h(h<50)=50 
  Calling UaOutputs. UaOutputsInfostring=Start of Inverse Run , UaOutputsCounter=1 
 
 ===========   Inverting for model parameters. ================  

 +++++++++++ At start of inversion:  	 J=19.4352 	 I=18.5979 	 R=0.83738  |grad|=0.305524 	 	 gamma=0.0119968 
 

   It         J           I          R         |grad|      gamma   #ccUpdate
11000     19.4352     18.5979     0.83738    0.305524   0.0119968      0
11001     19.4352     18.5978    0.837381    0.291266   0.0125255      0
11002     19.4351     18.5977    0.837382    0.284791   0.0174367      1
11003     19.4351     18.5977    0.837383      0.2845   0.0158875      0
11004     19.4351     18.5977    0.837384    0.280415   0.0181187      0
11005     19.4351     18.5977    0.837385     0.28242   0.0179002      0
11006      19.435     18.5977    0.837385    0.279188   0.0173269      0
11007      19.435     18.5976    0.837386    0.282076   0.0195398      0
11008      19.435     18.5976    0.837387    0.278717   0.0162419      0
11009      19.435     18.5976    0.837388    0.282208   0.0213242      0
11010      19.435     18.5976    0.837389    0.278269   0.0107293      0
11011     19.4349     18.5975    0.837398    0.309802    0.189008      0
11012     19.4348     18.5974    0.837398    0.279088  0.00808801      1
11013     19.4348     18.5974      0.8374    0.282542   0.0522564      0
11014     19.4348     18.5974      0.8374     0.27902   0.0105877      0
11015     19.4347     18.5973    0.837403    0.286279   0.0821148      0
11016     19.4347     18.5973    0.837403    0.278394  0.00649684      0
11017     19.4347     18.5973    0.837404    0.282201    0.023551      0
11018     19.4347     18.5973    0.837405    0.278187   0.0118196      0
11019     19.4347     18.5973    0.837407    0.291623   0.0738724      0
11020     19.4346     18.5972    0.837408    0.279265    0.013405      0
11021     19.4346     18.5972    0.837408    0.280154    0.013657      1
11022     19.4346     18.5972    0.837409     0.27931   0.0244883      0
11023     19.4346     18.5972    0.837409    0.279259   0.0122916      0
11024     19.4346     18.5972    0.837411    0.282827   0.0540175      0
11025     19.4345     18.5971    0.837412    0.279212   0.0108647      0
11026     19.4345     18.5971    0.837414     0.28349   0.0590962      0
11027     19.4345     18.5971    0.837414    0.279812   0.0116321      0
11028     19.4345     18.5971    0.837415     0.28002    0.030645      0
11029     19.4345      18.597    0.837415    0.281175   0.0152612      0
11030     19.4344      18.597    0.837416    0.278645   0.0174487      0
11031     19.4344      18.597    0.837417    0.281534   0.0198919      0
11032     19.4344      18.597    0.837417    0.278543   0.0162087      0
11033     19.4344      18.597    0.837418    0.281947   0.0217804      0
11034     19.4344      18.597    0.837418    0.278276   0.0109485      0
11035     19.4343     18.5969    0.837424    0.307227    0.166657      0
11036     19.4343     18.5968    0.837424    0.279916  0.00756211      1
11037     19.4342     18.5968    0.837425    0.279534   0.0274126      0
11038     19.4342     18.5968    0.837425    0.279956   0.0137224      0
11039     19.4342     18.5968    0.837426    0.279802   0.0283526      0
11040     19.4342     18.5968    0.837427    0.280345   0.0141667      0
11041     19.4342     18.5968    0.837427    0.278893   0.0212817      0
11042     19.4342     18.5967    0.837428     0.28104   0.0175218      0
11043     19.4342     18.5967    0.837428    0.278744   0.0182074      0
11044     19.4341     18.5967    0.837429    0.281372    0.018983      0
11045     19.4341     18.5967     0.83743    0.278625   0.0168601      0
11046     19.4341     18.5967     0.83743    0.281753   0.0207029      0
11047     19.4341     18.5967    0.837431     0.27853   0.0157073      0
11048     19.4341     18.5967    0.837431    0.282193   0.0227387      0
11049     19.4341     18.5966    0.837432    0.278272   0.0114211      0
11050      19.434     18.5966    0.837435    0.296764    0.102046      0
11051      19.434     18.5966    0.837435    0.280172  0.00700905      0
11052      19.434     18.5965    0.837436    0.279468   0.0251904      0
11053      19.434     18.5965    0.837436    0.279474   0.0126353      0
11054     19.4339     18.5965    0.837438    0.281687   0.0439132      0
11055     19.4339     18.5965    0.837438    0.278517  0.00914862      0
11056     19.4009     18.5606    0.840315     2.28464      87.248      0
11057     19.3868     18.5465    0.840281     1.34751   0.0141915      1
11058     19.3796     18.5393    0.840289    0.300209  0.00354787      2
11059     19.3777     18.5374    0.840309    0.417866    0.468933      0
11060     19.3772     18.5369    0.840309    0.302137   0.0109973      1
11061      19.377     18.5367    0.840309    0.310398   0.0169083      2
11062     19.3769     18.5366    0.840309    0.290122  0.00891029      3
11063     19.3767     18.5363    0.840313    0.317906   0.0796853      0
11064     19.3766     18.5363    0.840314    0.295162   0.0131697      1
11065     19.3765     18.5362    0.840315    0.300129   0.0199011      2
11066     19.3765     18.5361    0.840316    0.289531    0.010164      3
11067     19.3762     18.5359    0.840328    0.350548    0.147252      0
11068     19.3761     18.5357    0.840328    0.293764   0.0125531      1
11069      19.376     18.5357    0.840329    0.285441  0.00649065      2
11070     19.3756     18.5352    0.840352     0.32979     0.32088      0
11071     19.3753     18.5349    0.840354    0.298527    0.039221      1
11072     19.3752     18.5349    0.840354    0.284922  0.00809919      2
11073      19.375     18.5347    0.840366    0.333747     0.15724      0
11074     19.3749     18.5345    0.840366    0.292713  0.00749625      1
11075     19.3748     18.5345    0.840367    0.289718   0.0350349      0
11076     19.3748     18.5344    0.840368    0.293275   0.0172038      0
11077     19.3748     18.5344    0.840369    0.284832  0.00873447      1
11078      19.374     18.5335    0.840422    0.500601    0.847119      0
11079     19.3735      18.533    0.840421    0.339087   0.0132362      1
11080     19.3733     18.5329    0.840421    0.290112   0.0054919      2
11081     19.3733     18.5328    0.840421    0.287381   0.0126496      3
11082     19.3732     18.5328    0.840422    0.289515   0.0184236      0
11083     19.3732     18.5328    0.840423     0.28517   0.0171691      0
11084     19.3732     18.5328    0.840424    0.289261   0.0199331      0
11085     19.3732     18.5327    0.840425    0.284663   0.0163178      0
11086     19.3731     18.5327    0.840426    0.289635   0.0212923      0
11087     19.3731     18.5327    0.840427     0.28361   0.0107715      0
11088     19.3729     18.5325    0.840438    0.345985    0.207179      0
11089     19.3728     18.5324    0.840438    0.286122  0.00755661      1
11090     19.3728     18.5323     0.84044    0.286498   0.0263937      0
11091     19.3727     18.5323    0.840441    0.285623   0.0132386      0
11092     19.3727     18.5323    0.840442    0.287873    0.032364      0
11093     19.3727     18.5322    0.840443    0.289327    0.015961      0
11094     19.3727     18.5322    0.840444    0.283679   0.0128844      1
11095     19.3726     18.5322    0.840446    0.292173   0.0297756      0
11096     19.3726     18.5321    0.840446    0.284418   0.0147713      0
11097     19.3726     18.5321    0.840447    0.288399    0.019543      0
11098     19.3725     18.5321    0.840448    0.284191   0.0165676      0
11099     19.3725     18.5321    0.840449    0.288863   0.0208958      0
11100     19.3725      18.532     0.84045    0.283236   0.0105705      0
11101     19.3723     18.5318    0.840463      0.3438    0.239489      0
11102     19.3722     18.5317    0.840463    0.284845  0.00794365      1
11103     19.3721     18.5317    0.840466    0.289234   0.0406572      0
11104     19.3721     18.5316    0.840466    0.283073    0.008516      0
11105     19.3716     18.5311      0.8405    0.431246    0.627715      0
11106     19.3712     18.5307      0.8405    0.283189  0.00980805      1
11107     19.3712     18.5307    0.840501    0.286323   0.0142679      2
11108     19.3712     18.5307    0.840502    0.283873   0.0193588      0
11109     19.3712     18.5307    0.840503    0.286664   0.0177126      0
11110     19.3712     18.5307    0.840504     0.28362   0.0181279      0
11111     19.3711     18.5306    0.840505    0.287048   0.0188872      0
11112     19.3711     18.5306    0.840506    0.283402   0.0170435      0
11113     19.3711     18.5306    0.840507    0.287479   0.0202265      0
11114     19.3711     18.5306    0.840507    0.283213   0.0160855      0
11115      19.371     18.5305    0.840509    0.287965   0.0217586      0
11116      19.371     18.5305    0.840509    0.282472   0.0109808      0
11117     19.3709     18.5304    0.840518    0.326028    0.160296      0
11118     19.3708     18.5303    0.840518    0.285456  0.00714849      1
11119     19.3708     18.5303    0.840519    0.284171   0.0222451      0
11120     19.3708     18.5303     0.84052    0.283193   0.0112311      0
11121     19.3707     18.5302    0.840526    0.306603     0.12652      0
11122     19.3706     18.5301    0.840527    0.283503  0.00637301      1
11123     19.3706     18.5301    0.840528    0.286349   0.0178916      0
11124     19.3706       18.53    0.840528    0.283264   0.0179326      0
11125     19.3705       18.53    0.840529    0.286737   0.0191166      0
11126     19.3705       18.53     0.84053     0.28306    0.016852      0
11127     19.3705       18.53    0.840531    0.287175   0.0205169      0
11128     19.3705       18.53    0.840532    0.282884   0.0158991      0
11129     19.3705     18.5299    0.840533     0.28767   0.0221239      0
11130     19.3704     18.5299    0.840534    0.282213   0.0111555      0
11131     19.3704     18.5298    0.840541     0.31756    0.132311      0
11132     19.3703     18.5297    0.840541    0.286247  0.00649066      1
11133     19.3703     18.5297    0.840542    0.283055    0.017658      0
11134     19.3702     18.5297    0.840543    0.286647   0.0194469      0
11135     19.3702     18.5297    0.840544    0.282862   0.0165995      0
11136     19.3702     18.5296    0.840545    0.287097   0.0209105      0
11137     19.3702     18.5296    0.840546    0.282141   0.0105583      0
11138       19.37     18.5294    0.840558    0.334107    0.239212      0
11139     19.3699     18.5293    0.840558     0.28312  0.00823533      1
11140     19.3698     18.5293    0.840562    0.293031   0.0696251      0
11141     19.3698     18.5292    0.840562    0.285358   0.0121386      1
11142     19.3698     18.5292    0.840563    0.282545     0.01487      2
11143     19.3698     18.5292    0.840564    0.287228   0.0222113      0
11144     19.3697     18.5292    0.840565    0.281928   0.0111938      0
11145     19.3697     18.5291    0.840571    0.314704    0.127083      0
11146     19.3696      18.529    0.840572    0.286111  0.00632994      1
11147     19.3696      18.529    0.840573    0.282609     0.01693      0
11148     19.3695      18.529    0.840574    0.286541   0.0204283      0
11149     19.3695     18.5289    0.840574    0.282443   0.0159391      0
11150     19.3695     18.5289    0.840576    0.287027   0.0220743      0
11151     19.3695     18.5289    0.840576    0.281835   0.0111254      0
11152     19.3694     18.5288    0.840583    0.316392    0.136475      0
11153     19.3693     18.5287    0.840583    0.285513   0.0066147      1
11154     19.3693     18.5287    0.840584    0.282692   0.0182343      0
11155     19.3693     18.5287    0.840585    0.285885   0.0188124      0
11156     19.3693     18.5287    0.840586    0.282497   0.0170749      0
11157     19.3692     18.5287    0.840587    0.286305   0.0202268      0
11158     19.3692     18.5286    0.840588    0.282331   0.0160591      0
11159     19.3692     18.5286    0.840589    0.286781   0.0218577      0
11160     19.3692     18.5286     0.84059    0.281731   0.0110175      0
11161     19.3691     18.5285    0.840597    0.319649    0.153514      0
11162      19.369     18.5284    0.840598    0.284644  0.00705636      1
11163      19.369     18.5284    0.840599    0.283046   0.0213614      0
11164      19.369     18.5284      0.8406    0.284931   0.0163421      0
11165     19.3689     18.5283    0.840601    0.282775   0.0197865      0
11166     19.3689     18.5283    0.840602    0.285253   0.0174073      0
11167     19.3689     18.5283    0.840603    0.282544    0.018414      0
11168     19.3689     18.5283    0.840603    0.285611   0.0186321      0
11169     19.3689     18.5283    0.840604    0.282346   0.0172207      0
11170     19.3688     18.5282    0.840605    0.286019   0.0200393      0
11171     19.3688     18.5282    0.840606    0.282179   0.0161748      0
11172     19.3688     18.5282    0.840607    0.286484   0.0216632      0
11173     19.3688     18.5282    0.840608    0.281593   0.0109198      0
11174     19.3687     18.5281    0.840616    0.322179    0.170622      0
11175     19.3686      18.528    0.840617    0.283856   0.0074232      1
11176     19.3686      18.528    0.840618    0.283581   0.0259348      0
11177     19.3686     18.5279    0.840619    0.283226   0.0130105      0
11178     19.3685     18.5279    0.840621    0.285364   0.0361908      0
11179     19.3685     18.5279    0.840621    0.281488  0.00771109      0
11180     19.3684     18.5278    0.840628    0.315735    0.142638      0
11181     19.3684     18.5277    0.840628    0.284738  0.00679522      1
11182     19.3683     18.5277    0.840629    0.282421   0.0192798      0
11183     19.3683     18.5277     0.84063    0.285071   0.0178345      0
11184     19.3683     18.5277    0.840631    0.282211   0.0179539      0
11185     19.3683     18.5276    0.840632    0.285448   0.0191433      0
11186     19.3683     18.5276    0.840633    0.282033   0.0167989      0
11187     19.3682     18.5276    0.840634    0.285875   0.0206543      0
11188     19.3682     18.5276    0.840635    0.281883   0.0157897      0
11189     19.3682     18.5276    0.840636    0.286361   0.0224059      0
11190     19.3682     18.5275    0.840636    0.281367   0.0112809      0
11191     19.3681     18.5275    0.840642    0.303202    0.102233      0
11192     19.3681     18.5274    0.840642    0.283867  0.00664554      1
11193      19.368     18.5274    0.840643     0.28299    0.023764      0
11194      19.368     18.5274    0.840644    0.282411   0.0119579      0
11195      19.368     18.5273    0.840647    0.290695   0.0674981      0
11196     19.3679     18.5273    0.840648    0.284265   0.0122595      0
11197     19.3679     18.5273    0.840648    0.281902   0.0159314      1
11198     19.3679     18.5273    0.840649    0.285739   0.0207489      0
11199     19.3679     18.5272     0.84065    0.281756   0.0157312      0
11200     19.3679     18.5272    0.840651    0.286228   0.0225322      0
11201     19.3679     18.5272    0.840652    0.281262   0.0113412      0
11202     19.3678     18.5271    0.840657    0.304243     0.10278      0
11203     19.3677     18.5271    0.840657    0.284002  0.00655959      1
11204     19.3677     18.5271    0.840658    0.282542   0.0217615      0
11205     19.3677      18.527    0.840659    0.281897   0.0109749      0
11206     19.3676      18.527    0.840667     0.30868    0.167663      0
11207     19.3675     18.5269    0.840668    0.281408  0.00747204      1
11208     19.3675     18.5268    0.840669    0.287027   0.0270862      0
11209     19.3675     18.5268     0.84067    0.281357   0.0135455      0
