
                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016b (9.1.0.441655) 64-bit (glnxa64)
                             September 7, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Non-Degree Granting Education License -- for use at non-degree granting, nonprofit,
	educational organizations only.  Not for government, commercial, or other organizational use.

>> >> >> >> >> >> >> >> >>  On input UserVar=1.000000 

 
 **************************     Úa version: 13 Jan 2017  ********************** 
    Run starts at 01-Mar-2017 15:06:50  
    Experiment: UaOpt-ConjGrad  
    Inverse-modelling restart run.  
 	CtrlVar.Inverse.InvertFor='logAGlenlogC'
	CtrlVar.Inverse.Regularize.Field='logAGlenlogC'
	CtrlVar.Inverse.DataMisfit.GradientCalculation='Adjoint'
   Running on: bslicea.nerc-bas.ac.uk
 ***************************************************************************** 
 
 Inverse run: loading restart file: IR-UaOpt-ConjGrad-UaOptimization-Nod3-I-Adjoint-Cga1k000000-Cgs1k000000-Aga1k000000-Ags1k000000-0-0-logAGlenlogC 	  done 
  Setting h(h<50)=50 
  Calling UaOutputs. UaOutputsInfostring=Start of Inverse Run , UaOutputsCounter=1 
 
 ===========   Inverting for model parameters. ================  

 +++++++++++ At start of inversion:  	 J=32.5913 	 I=31.9321 	 R=0.659139  |grad|=0.455944 	 	 gamma=0.00449344 
 

   It         J           I          R         |grad|      gamma   #ccUpdate
 7352     32.3961     31.7361    0.660038    0.381805   0.0263909     11
 7353     32.3959     31.7358    0.660038    0.320212  0.00580782     12
 7354     32.3945     31.7344    0.660058    0.600834    0.131583      0
 7355     32.3936     31.7335    0.660055    0.322473  0.00822396      1
 7356     32.3933     31.7332    0.660059    0.372884   0.0205744      2
 7357      32.393      31.733     0.66006    0.327232  0.00958315      3
 7358     32.3928     31.7327    0.660062    0.349357   0.0178331      4
 7359     32.3925     31.7325    0.660063    0.320842  0.00924657      5
 7360      32.392     31.7319    0.660071    0.439706   0.0540285      6
 7361     32.3915     31.7315    0.660071    0.316488  0.00700214      7
 7362     32.3874     31.7273    0.660129    0.980966    0.396606      0
 7363     32.3848     31.7246    0.660122    0.360489  0.00619696      1
 7364     32.3844     31.7243    0.660124    0.335803   0.0159568      0
 7365     32.3842     31.7241    0.660125    0.318913  0.00845615      1
 7366      32.383     31.7228    0.660143    0.581916    0.123015      2
 7367     32.3821      31.722    0.660141    0.316998  0.00768845      3
 7368     32.3798     31.7196    0.660176    0.777112    0.224304      4
 7369     32.3781     31.7179    0.660172    0.331767  0.00629709      5
 7370     32.3777     31.7175    0.660175    0.364555    0.022827      0
 7371     32.3775     31.7173    0.660176    0.326673   0.0107176      1
 7372     32.3772     31.7171    0.660178    0.350804   0.0163656      2
 7373     32.3771     31.7169    0.660179    0.317003  0.00854757      3
 7374     32.3757     31.7155    0.660197    0.614744    0.128521      4
 7375     32.3749     31.7147    0.660195     0.31767  0.00803259      5
